Year,Value,Group,Stdev,Type,Scale,Fvalue
16,172218,FCD.adult,17221.8,Catch,1,0.32
17,196171,FCD.adult,19617.100000000002,Catch,1,0.33
18,223582,FCD.adult,22358.2,Catch,1,0.34999999999999987
19,222021,FCD.adult,22202.100000000002,Catch,1,0.32
20,230165,FCD.adult,23016.5,Catch,1,0.2999999999999999
21,251219,FCD.adult,25121.9,Catch,1,0.31
22,243945,FCD.adult,24394.5,Catch,1,0.31
23,267221,FCD.adult,26722.100000000002,Catch,1,0.34
24,263025,FCD.adult,26302.5,Catch,1,0.38
25,270302,FCD.adult,27030.2,Catch,1,0.4199999999999999
26,265740,FCD.adult,26574,Catch,1,0.38
27,242211,FCD.adult,24221.100000000002,Catch,1,0.31
28,217847,FCD.adult,21784.7,Catch,1,0.28
29,220336,FCD.adult,22033.600000000002,Catch,1,0.2999999999999999
1,215.28999396461302,FHA.juv,21.528999396461302,Catch,1,0.004901242482152102
2,178.71392647934,FHA.juv,17.871392647933998,Catch,1,0.004533520930119339
3,74.97289257093398,FHA.juv,7.497289257093398,Catch,1,0.005507360036931889
4,470.421693210631,FHA.juv,47.042169321063106,Catch,1,0.005633736517018624
5,1194.3369024685421,FHA.juv,119.43369024685421,Catch,1,0.005667988937998167
6,1425.984123257353,FHA.juv,142.59841232573532,Catch,1,0.004516702952077679
7,619.793590231478,FHA.juv,61.9793590231478,Catch,1,0.003751259717564349
8,191.110620670481,FHA.juv,19.111062067048103,Catch,1,0.002911783826171964
9,758.669079959896,FHA.juv,75.86690799598959,Catch,1,0.003264798091774128
10,660.6510138298471,FHA.juv,66.06510138298471,Catch,1,0.003139256489486394
11,74.41368935014921,FHA.juv,7.441368935014921,Catch,1,0.002792512689223387
12,349.2347468421141,FHA.juv,34.923474684211406,Catch,1,0.003299742424142727
13,579.746603526225,FHA.juv,57.97466035262251,Catch,1,0.0035355856964864162
14,504.592524339525,FHA.juv,50.45925243395251,Catch,1,0.0037245937812930554
15,66.42566945614016,FHA.juv,6.642566945614016,Catch,1,0.003662371005568668
16,134.82965734629,FHA.juv,13.482965734629,Catch,1,0.003261352583293556
17,110.844901026287,FHA.juv,11.0844901026287,Catch,1,0.002877713138262412
18,151.37550515525703,FHA.juv,15.137550515525703,Catch,1,0.0026962727287236704
19,151.95594250576602,FHA.juv,15.195594250576603,Catch,1,0.002478536609865281
20,106.291836536782,FHA.juv,10.6291836536782,Catch,1,0.002865604345964661
21,258.15877175513106,FHA.juv,25.81587717551311,Catch,1,0.002991888596211239
22,257.892472800634,FHA.juv,25.7892472800634,Catch,1,0.002759958504777808
23,222.750773223699,FHA.juv,22.275077322369903,Catch,1,0.003247755969284442
24,103.709315603154,FHA.juv,10.3709315603154,Catch,1,0.0029521057880608284
25,244.027754157926,FHA.juv,24.402775415792604,Catch,1,0.002397197553812949
26,185.795761405322,FHA.juv,18.5795761405322,Catch,1,0.001977596370761801
27,22.089336388517818,FHA.juv,2.2089336388517817,Catch,1,0.001366741556515059
28,216.91845598702702,FHA.juv,21.691845598702702,Catch,1,0.00127883932345217
29,6.82723395167167,FHA.juv,0.6827233951671671,Catch,1,0.0012057363327827042
1,56481.76179707,FHA.adult,5648.176179707,Catch,1,0.9626740164455476
2,46469.9606128167,FHA.adult,4646.99606128167,Catch,1,0.915966920243287
3,38982.242992426196,FHA.adult,3898.22429924262,Catch,1,0.7911962488007802
4,47546.6835058725,FHA.adult,4754.66835058725,Catch,1,0.8875826349021129
5,40725.428926516,FHA.adult,4072.5428926515997,Catch,1,0.8790241286115991
6,37547.361517183,FHA.adult,3754.7361517183003,Catch,1,0.7466227887001826
7,48252.1338116981,FHA.adult,4825.21338116981,Catch,1,0.6944125724119112
8,65673.83901761791,FHA.adult,6567.383901761791,Catch,1,0.6571775710274675
9,88042.66449494251,FHA.adult,8804.266449494251,Catch,1,0.7448098222023612
10,94980.93763480512,FHA.adult,9498.093763480512,Catch,1,0.7953426387305969
11,99716.2742295359,FHA.adult,9971.627422953592,Catch,1,0.8875115349496505
12,116516.1712409771,FHA.adult,11651.617124097711,Catch,1,0.8927495264169639
13,103869.9887686943,FHA.adult,10386.998876869431,Catch,1,0.8001758234840045
14,81662.91158466961,FHA.adult,8166.291158466961,Catch,1,0.7545012352177388
15,62290.0194113355,FHA.adult,6229.001941133551,Catch,1,0.6662795757765755
16,50926.4843720478,FHA.adult,5092.648437204781,Catch,1,0.5396689085843158
17,46252.7464008737,FHA.adult,4625.27464008737,Catch,1,0.477309930754595
18,44031.888523291396,FHA.adult,4403.18885232914,Catch,1,0.4536168317740593
19,34967.1941664989,FHA.adult,3496.7194166498903,Catch,1,0.4100766278628166
20,39085.222315445506,FHA.adult,3908.522231544551,Catch,1,0.43509844407111264
21,36881.732273103305,FHA.adult,3688.1732273103307,Catch,1,0.4440393769644885
22,36927.7824314087,FHA.adult,3692.77824314087,Catch,1,0.4549282698845639
23,49606.2218651044,FHA.adult,4960.622186510441,Catch,1,0.5334707436972332
24,56228.493431504896,FHA.adult,5622.84934315049,Catch,1,0.5990433161196568
25,54735.13247127631,FHA.adult,5473.513247127631,Catch,1,0.5664285540038188
26,56149.835805690505,FHA.adult,5614.983580569051,Catch,1,0.5529646895429046
27,58378.7206739029,FHA.adult,5837.87206739029,Catch,1,0.4714193588280489
28,71821.9038340793,FHA.adult,7182.190383407931,Catch,1,0.5428415954342651
29,87643.2491452902,FHA.adult,8764.324914529021,Catch,1,0.5882482970246119
1,2121.867437178464,FSA.juv,212.1867437178464,Catch,1,0.0555341625582712
2,757.198644920089,FSA.juv,75.71986449200891,Catch,1,0.043055804917777996
3,232.40044144358802,FSA.juv,23.240044144358805,Catch,1,0.028257716002753102
4,1093.0793615538591,FSA.juv,109.30793615538592,Catch,1,0.0310207773140387
5,1214.7624096658,FSA.juv,121.47624096658001,Catch,1,0.030446673194537702
6,1644.112974626734,FSA.juv,164.41129746267342,Catch,1,0.0285597410197156
7,1420.80178354096,FSA.juv,142.080178354096,Catch,1,0.0285431677407524
8,2791.567179220437,FSA.juv,279.1567179220437,Catch,1,0.0322538465409429
9,1255.903173796207,FSA.juv,125.59031737962071,Catch,1,0.03790688275957051
10,3128.593290343549,FSA.juv,312.8593290343549,Catch,1,0.0417276479595072
11,1554.509851794377,FSA.juv,155.4509851794377,Catch,1,0.0459354018516926
12,1170.473137469853,FSA.juv,117.04731374698531,Catch,1,0.0560358015762844
13,1608.981705560487,FSA.juv,160.8981705560487,Catch,1,0.0653984386338519
14,3389.607594172708,FSA.juv,338.9607594172708,Catch,1,0.0690545236735663
15,2242.9884447632003,FSA.juv,224.29884447632003,Catch,1,0.0589504865421951
16,2211.148585162196,FSA.juv,221.1148585162196,Catch,1,0.0507446782314564
17,1177.674048144161,FSA.juv,117.7674048144161,Catch,1,0.040312157153046695
18,1325.7132015952002,FSA.juv,132.57132015952,Catch,1,0.0436601044115452
19,783.707971407443,FSA.juv,78.3707971407443,Catch,1,0.0328877126050933
20,1310.6583114737691,FSA.juv,131.0658311473769,Catch,1,0.030485799300083702
21,1722.144294680788,FSA.juv,172.21442946807883,Catch,1,0.0339343650741861
22,1181.8084023854392,FSA.juv,118.18084023854392,Catch,1,0.0282545521642048
23,760.7207840227271,FSA.juv,76.07207840227271,Catch,1,0.0408351816831766
24,1105.4833057569172,FSA.juv,110.54833057569172,Catch,1,0.0358823125081238
25,1450.175518021246,FSA.juv,145.01755180212461,Catch,1,0.0342528596754803
26,2505.905560559909,FSA.juv,250.59055605599093,Catch,1,0.0529018538077471
27,2646.3474788293493,FSA.juv,264.63474788293496,Catch,1,0.060414116875971896
28,2468.712725357295,FSA.juv,246.8712725357295,Catch,1,0.047443930497382
29,760.5576764733341,FSA.juv,76.05576764733341,Catch,1,0.031492409588133305
1,40651353,FSA.adult,4065135.3000000003,Catch,1,0.4120188372040656
2,37516139,FSA.adult,3751613.9000000004,Catch,1,0.36938815443680784
3,31710046,FSA.adult,3171004.6,Catch,1,0.337523431944368
4,31647452,FSA.adult,3164745.2,Catch,1,0.3144341682911056
5,33109845,FSA.adult,3310984.5,Catch,1,0.3153160861831303
6,32121353,FSA.adult,3212135.3000000003,Catch,1,0.27078725924274616
7,42184400,FSA.adult,4218440,Catch,1,0.2603503737244826
8,52406156,FSA.adult,5240615.600000001,Catch,1,0.25608614776168154
9,63750447,FSA.adult,6375044.7,Catch,1,0.26493291106471234
10,68558762,FSA.adult,6855876.2,Catch,1,0.2702436342653618
11,75669479,FSA.adult,7566947.9,Catch,1,0.3033241178792693
12,64426996,FSA.adult,6442699.600000001,Catch,1,0.26986467536773
13,70323567,FSA.adult,7032356.7,Catch,1,0.30320234934268003
14,61538443,FSA.adult,6153844.300000001,Catch,1,0.2868492917964244
15,54220696,FSA.adult,5422069.600000001,Catch,1,0.2469600541832623
16,51216038,FSA.adult,5121603.800000001,Catch,1,0.2341572098192671
17,51867477,FSA.adult,5186747.7,Catch,1,0.2365217527752692
18,58440565,FSA.adult,5844056.5,Catch,1,0.278611515298272
19,46487586,FSA.adult,4648758.600000001,Catch,1,0.23989013961021521
20,48473833,FSA.adult,4847383.3,Catch,1,0.23987973127136672
21,49206731,FSA.adult,4920673.100000001,Catch,1,0.2418265891384105
22,49063497,FSA.adult,4906349.7,Catch,1,0.2029616283480799
23,66248431,FSA.adult,6624843.100000001,Catch,1,0.2450119117785943
24,64532003,FSA.adult,6453200.300000001,Catch,1,0.2397303736459105
25,50252516,FSA.adult,5025251.600000001,Catch,1,0.22032817533776822
26,59765761,FSA.adult,5976576.100000001,Catch,1,0.2697022189274765
27,61882372,FSA.adult,6188237.2,Catch,1,0.2978000083302677
28,42114222,FSA.adult,4211422.2,Catch,1,0.17520561435406182
29,38538084,FSA.adult,3853808.4000000004,Catch,1,0.1502027407588239
1,37082,FGH,3708.2000000000003,Catch,1,0.3402
2,29257,FGH,2925.7000000000003,Catch,1,0.27639999999999987
3,20435,FGH,2043.5,Catch,1,0.1860999999999999
4,21158,FGH,2115.8,Catch,1,0.1792999999999999
5,27964,FGH,2796.4,Catch,1,0.2275
6,29527,FGH,2952.7000000000003,Catch,1,0.2470999999999999
7,29390,FGH,2939,Catch,1,0.258
8,33505,FGH,3350.5,Catch,1,0.3286
9,31436,FGH,3143.6000000000004,Catch,1,0.3705
10,24304,FGH,2430.4,Catch,1,0.3316
11,21354,FGH,2135.4,Catch,1,0.3071999999999999
12,20966,FGH,2096.6,Catch,1,0.28549999999999986
13,29715,FGH,2971.5,Catch,1,0.3914
14,34017,FGH,3401.7000000000003,Catch,1,0.4773
15,25417,FGH,2541.7000000000003,Catch,1,0.3617
16,24880,FGH,2488,Catch,1,0.3295
17,27322,FGH,2732.2000000000003,Catch,1,0.3325
18,26419,FGH,2641.9,Catch,1,0.3024
19,20261,FGH,2026.1000000000001,Catch,1,0.2121
20,24925,FGH,2492.5,Catch,1,0.2409999999999999
21,25320,FGH,2532,Catch,1,0.2431
22,22092,FGH,2209.2000000000003,Catch,1,0.2122
23,26650,FGH,2665,Catch,1,0.2661999999999999
24,22595,FGH,2259.5,Catch,1,0.2403
25,22195,FGH,2219.5,Catch,1,0.2449
26,22635,FGH,2263.5,Catch,1,0.25469999999999987
27,21326,FGH,2132.6,Catch,1,0.2412999999999999
28,25425,FGH,2542.5,Catch,1,0.2968
29,23132,FGH,2313.2000000000003,Catch,1,0.2791
1,135573.52,FRF,13557.351999999999,Catch,1,0.1875263211644595
2,147316.4,FRF,14731.64,Catch,1,0.2101264287580634
3,138988.272,FRF,13898.8272,Catch,1,0.2094228036720249
4,135339.328,FRF,13533.932800000002,Catch,1,0.1967386161771423
5,143239.776,FRF,14323.977600000002,Catch,1,0.2179182666355007
6,102025.328,FRF,10202.5328,Catch,1,0.1375274870771758
7,133951.76,FRF,13395.176000000001,Catch,1,0.1691726754087155
8,127708.456,FRF,12770.8456,Catch,1,0.1930579337330566
9,96720.928,FRF,9672.0928,Catch,1,0.1327596260081745
10,124554.784,FRF,12455.4784,Catch,1,0.1573918900674588
11,116348.928,FRF,11634.892800000001,Catch,1,0.1326924994455483
12,111043.408,FRF,11104.3408,Catch,1,0.125137794209501
13,139175.808,FRF,13917.5808,Catch,1,0.1574615469835653
14,115494.32,FRF,11549.432,Catch,1,0.1309372551414611
15,113259.896,FRF,11325.9896,Catch,1,0.1177030389556763
16,112163.312,FRF,11216.3312,Catch,1,0.09475557991742051
17,110343.072,FRF,11034.307200000001,Catch,1,0.0908893298749738
18,120372.08,FRF,12037.208,Catch,1,0.08397010851349371
19,114733.44,FRF,11473.344000000001,Catch,1,0.0790747239941446
20,116105.544,FRF,11610.5544,Catch,1,0.0759982948911237
21,126940.544,FRF,12694.0544,Catch,1,0.0801247043980152
22,116831.24,FRF,11683.124000000002,Catch,1,0.07625984926555139
23,115867.168,FRF,11586.716800000002,Catch,1,0.0786598074715488
24,106726,FRF,10672.6,Catch,1,0.0713475199856567
25,103902.304,FRF,10390.2304,Catch,1,0.08112710319170541
26,100341.32,FRF,10034.132000000001,Catch,1,0.07749561815770678
27,78764.328,FRF,7876.4328,Catch,1,0.0724119395653946
28,77594.512,FRF,7759.4512,Catch,1,0.0694177192145351
29,81855.128,FRF,8185.5128,Catch,1,0.0707133742625703
1,29356.524,FFF,2935.6524000000004,Catch,1,0.587
2,27747.972,FFF,2774.7972000000004,Catch,1,0.592
3,18714.172,FFF,1871.4171999999999,Catch,1,0.41599999999999987
4,18992.352,FFF,1899.2352,Catch,1,0.504
5,14616.723,FFF,1461.6723000000002,Catch,1,0.47399999999999987
6,16027.578,FFF,1602.7578,Catch,1,0.433
7,15965.345,FFF,1596.5345,Catch,1,0.41199999999999987
8,16203.311,FFF,1620.3311,Catch,1,0.402
9,15652.605,FFF,1565.2605,Catch,1,0.333
10,14291.286,FFF,1429.1286,Catch,1,0.307
11,13680.582,FFF,1368.0582000000002,Catch,1,0.342
12,12067.304,FFF,1206.7304000000001,Catch,1,0.279
13,12558.514,FFF,1255.8514,Catch,1,0.33
14,12778.644,FFF,1277.8644000000002,Catch,1,0.312
15,10919.888,FFF,1091.9888,Catch,1,0.316
16,10112.307,FFF,1011.2307000000001,Catch,1,0.253
17,10301.145,FFF,1030.1145000000001,Catch,1,0.279
18,10135.546,FFF,1013.5546,Catch,1,0.256
19,9271.742,FFF,927.1742,Catch,1,0.2379999999999999
20,10955.172,FFF,1095.5172,Catch,1,0.233
21,11042.616,FFF,1104.2616,Catch,1,0.256
22,9946.243,FFF,994.6243000000001,Catch,1,0.229
23,11887.213,FFF,1188.7213,Catch,1,0.2939999999999999
24,10141.704,FFF,1014.1704,Catch,1,0.227
25,10425.274,FFF,1042.5274,Catch,1,0.231
26,11788.197,FFF,1178.8197,Catch,1,0.28899999999999987
27,10297.929,FFF,1029.7929000000001,Catch,1,0.24700000000000003
28,9313.818,FFF,931.3818,Catch,1,0.24500000000000002
29,10401.404,FFF,1040.1404,Catch,1,0.262
1,12376.587,FOC,1237.6587,Catch,1,0.423304470938854
2,11075.537,FOC,1107.5537000000002,Catch,1,0.4129586958992412
3,11261.772,FOC,1126.1772,Catch,1,0.4487287192267366
4,14707.869,FOC,1470.7869,Catch,1,0.5157003410971722
5,11443.196,FOC,1144.3196,Catch,1,0.4072881546466126
6,10417.038,FOC,1041.7038,Catch,1,0.4490261065862483
7,12887.205,FOC,1288.7205000000001,Catch,1,0.4065074326303286
8,12153.780999999999,FOC,1215.3781,Catch,1,0.35516229651037623
9,11767.395,FOC,1176.7395000000001,Catch,1,0.33665228258256735
10,12757.215,FOC,1275.7215,Catch,1,0.3179798021435482
11,17034.911,FOC,1703.4911000000002,Catch,1,0.378832174473201
12,18532.27,FOC,1853.227,Catch,1,0.37772718469196964
13,23415.386,FOC,2341.5386,Catch,1,0.4238370068647414
14,26287.936999999998,FOC,2628.7937,Catch,1,0.4614291934579054
15,29872.247,FOC,2987.2247,Catch,1,0.5475096041835985
16,27176.121,FOC,2717.6121000000003,Catch,1,0.3980035644963424
17,25936.743,FOC,2593.6743,Catch,1,0.4654407551765002
18,22514.462,FOC,2251.4462,Catch,1,0.4139777545813178
19,23340.253,FOC,2334.0253000000002,Catch,1,0.4019368817821388
20,22125.742,FOC,2212.5742,Catch,1,0.4169559873140325
21,15657.08,FOC,1565.708,Catch,1,0.3101621749092998
22,13267.462,FOC,1326.7462,Catch,1,0.2747802388718344
23,13007.105,FOC,1300.7105000000001,Catch,1,0.2709715652020802
24,13466.788,FOC,1346.6788000000001,Catch,1,0.26917500801777205
25,11468.929,FOC,1146.8929,Catch,1,0.2653087676066215
26,11895.529,FOC,1189.5529000000001,Catch,1,0.2267932431692582
27,12131.58,FOC,1213.1580000000001,Catch,1,0.20177547138614332
28,13909.502,FOC,1390.9502000000002,Catch,1,0.21423393015430628
29,13181.344000000001,FOC,1318.1344000000001,Catch,1,0.0633979229759362
1,16598.351,FDC,1659.8351,Catch,1,0.4482234086951924
2,13752.323,FDC,1375.2323000000001,Catch,1,0.32439858634615387
3,14513.765,FDC,1451.3765,Catch,1,0.29715325901602563
4,16656.974,FDC,1665.6974,Catch,1,0.31564861819615386
5,24318.733,FDC,2431.8733,Catch,1,0.32011628312371804
6,25028.2,FDC,2502.82,Catch,1,0.38642488124871793
7,22510.295000000002,FDC,2251.0295,Catch,1,0.2910262661025642
8,23366.345,FDC,2336.6345,Catch,1,0.3329565322910257
9,22447.518,FDC,2244.7518,Catch,1,0.25494746974935906
10,25895.146,FDC,2589.5146000000004,Catch,1,0.2791867223115385
11,27511.55,FDC,2751.155,Catch,1,0.30634025438782053
12,25926.951,FDC,2592.6951000000004,Catch,1,0.31329883024775645
13,28525.169,FDC,2852.5169000000005,Catch,1,0.2868979431365385
14,32466.738,FDC,3246.6738000000005,Catch,1,0.3179124828810898
15,34255.431,FDC,3425.5431,Catch,1,0.2807571956291667
16,26734.16,FDC,2673.416,Catch,1,0.2612442192320513
17,24126.578,FDC,2412.6578000000004,Catch,1,0.24568645030416664
18,19854.985,FDC,1985.4985000000001,Catch,1,0.20981096342135414
19,16793.532,FDC,1679.3532,Catch,1,0.17147532881791666
20,16775.206000000002,FDC,1677.5206000000003,Catch,1,0.174363271707625
21,16993.699,FDC,1699.3699000000001,Catch,1,0.18815082212921294
22,13555.385,FDC,1355.5385,Catch,1,0.1630408609918229
23,15739.663999999999,FDC,1573.9664,Catch,1,0.20693988712375003
24,14379.963,FDC,1437.9963,Catch,1,0.19655977853425838
25,12895.998,FDC,1289.5998,Catch,1,0.13153977261585414
26,14827.188,FDC,1482.7188,Catch,1,0.15152797506
27,16555.646,FDC,1655.5646000000002,Catch,1,0.14991899999999994
28,14933.169,FDC,1493.3169,Catch,1,0.14964949999999994
29,19102.167,FDC,1910.2167000000002,Catch,1,0.152537
1,97938.7175874613,FHE,9793.87175874613,Catch,1,0.2763285550825378
2,66576.4783405153,FHE,6657.6478340515305,Catch,1,0.19057232948445302
3,79898.1826644479,FHE,7989.81826644479,Catch,1,0.210808620775231
4,94081.76478893099,FHE,9408.1764788931,Catch,1,0.2426749590716785
5,100063.3398936771,FHE,10006.333989367711,Catch,1,0.246972257658204
6,100499.9653476232,FHE,10049.996534762322,Catch,1,0.23748903750214342
7,101982.24078408841,FHE,10198.224078408843,Catch,1,0.19407063917453368
8,112340.2392151465,FHE,11234.02392151465,Catch,1,0.2043337098854577
9,111822.4839331407,FHE,11182.24839331407,Catch,1,0.1764019655219698
10,109190.68370558691,FHE,10919.068370558693,Catch,1,0.154726457707683
11,118143.3240631482,FHE,11814.332406314821,Catch,1,0.1513131747364086
12,154146.08379905362,FHE,15414.608379905363,Catch,1,0.2387131061657425
13,152206.27617327558,FHE,15220.627617327558,Catch,1,0.2450532621395851
14,45873.445621374405,FHE,4587.34456213744,Catch,1,0.07693326719186991
15,44389.9216369582,FHE,4438.99216369582,Catch,1,0.0760892785230948
16,51020.6814654446,FHE,5102.06814654446,Catch,1,0.08588256893852339
17,122549.1509428541,FHE,12254.91509428541,Catch,1,0.22231994333341729
18,64043.0315036319,FHE,6404.30315036319,Catch,1,0.1266633528040717
19,96562.0950901824,FHE,9656.20950901824,Catch,1,0.19390091292126402
20,70446.71126720651,FHE,7044.671126720652,Catch,1,0.1555458181528229
21,59010.586650775906,FHE,5901.058665077591,Catch,1,0.1365369969702236
22,35751.8248865532,FHE,3575.1824886553204,Catch,1,0.08678931192908021
23,40410.1279419217,FHE,4041.0127941921705,Catch,1,0.0999020730628194
24,29313.207104747202,FHE,2931.3207104747203,Catch,1,0.0700657533729429
25,35217.4369903651,FHE,3521.7436990365104,Catch,1,0.07986753896847891
26,70049.9703121864,FHE,7004.997031218641,Catch,1,0.1415109449536421
27,72471.2166440009,FHE,7247.121664400091,Catch,1,0.152714285113313
28,93672.01621970559,FHE,9367.20162197056,Catch,1,0.19020385464600062
29,88141.0691119148,FHE,8814.10691119148,Catch,1,0.1866398568928263
1,1497000,FCA,149700,Catch,1,0.7619121312911743
2,1561000,FCA,156100,Catch,1,0.7883217086671677
3,923000,FCA,92300,Catch,1,0.695683267144444
4,761000,FCA,76100,Catch,1,0.6785090535869147
5,1095000,FCA,109500,Catch,1,0.7247976574776605
6,1100000,FCA,110000,Catch,1,0.7329204283155091
7,1295000,FCA,129500,Catch,1,0.7634181814310479
8,847000,FCA,84700,Catch,1,0.67587059133359
9,635000,FCA,63500,Catch,1,0.6191843500000476
10,701000,FCA,70100,Catch,1,0.650382350601823
11,238000,FCA,23800,Catch,1,0.39340264719084767
12,377000,FCA,37700,Catch,1,0.5084799496683469
13,203000,FCA,20300,Catch,1,0.3575164154555851
14,15000,FCA,1500,Catch,1,0.03635124033640978
15,156000,FCA,15600,Catch,1,0.2676420454025314
16,457000,FCA,45700,Catch,1,0.4991029936410123
17,685000,FCA,68500,Catch,1,0.631821359576395
18,541000,FCA,54100,Catch,1,0.5954818723089179
19,187000,FCA,18700,Catch,1,0.2613902850664195
20,475000,FCA,47500,Catch,1,0.7592476972042238
21,300000,FCA,30000,Catch,1,0.5352929513234856
22,287000,FCA,28700,Catch,1,0.6663678805685981
23,0,FCA,0,Catch,1,0.6563833662059912
24,0,FCA,0,Catch,1,0
25,129000,FCA,12900,Catch,1,0
26,206357,FCA,20635.7,Catch,1,0.5790737939762653
27,611600,FCA,61160,Catch,1,0.8043165167296332
28,449600,FCA,44960,Catch,1,0.7480046165554247
29,0,FCA,0,Catch,1,0
