Year,Value,Group,upper,lower,Scale,Stdev,Type
11,691882,FCD.adult,719856.25,664854.3999999999,1,69188.2,index
12,668181,FCD.adult,697545.3499999999,645522,1,66818.1,index
13,672217,FCD.adult,703088.55,646924.5,1,67221.7,index
14,745824,FCD.adult,777094.4,718568.65,1,74582.40000000001,index
15,794567,FCD.adult,830516.7,766578.95,1,79456.70000000001,index
16,840655,FCD.adult,879496.8999999999,812967.4500000001,1,84065.5,index
17,961248,FCD.adult,1009097,928882.05,1,96124.8,index
18,1084670,FCD.adult,1139151.5,1050239.5,1,108467,index
19,1091120,FCD.adult,1147447,1049452,1,109112,index
20,1173130,FCD.adult,1230411,1131975.5,1,117313,index
21,1227700,FCD.adult,1290359,1181754.5,1,122770,index
22,1155880,FCD.adult,1219394,1105473.5,1,115588,index
23,1203980,FCD.adult,1275262.5,1154026.5,1,120398,index
24,1152390,FCD.adult,1219361.5,1113167,1,115239,index
25,1045480,FCD.adult,1104251.5,1002996,1,104548,index
26,1102950,FCD.adult,1162317,1053696,1,110295,index
27,1090690,FCD.adult,1156494.5,1034925.5,1,109069,index
28,1136840,FCD.adult,1206671,1076878,1,113684,index
29,1075600,FCD.adult,1142802.5,1007412,1,107560,index
1,15879.394902990502,FHA.juv,1,1,1,1587.9394902990502,index
2,22357.4106677482,FHA.juv,1,1,1,2235.74106677482,index
3,5900.591093317236,FHA.juv,1,1,1,590.0591093317237,index
4,15649.2604479546,FHA.juv,1,1,1,1564.9260447954605,index
5,25059.1937838996,FHA.juv,1,1,1,2505.9193783899605,index
6,36542.378566202,FHA.juv,1,1,1,3654.237856620201,index
7,38736.0823435438,FHA.juv,1,1,1,3873.60823435438,index
8,20279.256277873097,FHA.juv,1,1,1,2027.9256277873096,index
9,49200.786601999,FHA.juv,1,1,1,4920.078660199901,index
10,64264.8517134925,FHA.juv,1,1,1,6426.48517134925,index
11,9974.68388268812,FHA.juv,1,1,1,997.4683882688122,index
12,11646.9195485566,FHA.juv,1,1,1,1164.69195485566,index
13,13013.2326532565,FHA.juv,1,1,1,1301.32326532565,index
14,17346.137570685998,FHA.juv,1,1,1,1734.6137570686,index
15,5562.142113367256,FHA.juv,1,1,1,556.2142113367256,index
16,6451.083132273667,FHA.juv,1,1,1,645.1083132273667,index
17,5150.325682037684,FHA.juv,1,1,1,515.0325682037684,index
18,8275.856971063513,FHA.juv,1,1,1,827.5856971063513,index
19,7665.502726021589,FHA.juv,1,1,1,766.550272602159,index
20,9906.967162064457,FHA.juv,1,1,1,990.6967162064456,index
21,18515.0147719595,FHA.juv,1,1,1,1851.5014771959504,index
22,12848.266899809,FHA.juv,1,1,1,1284.8266899809,index
23,12386.3714160217,FHA.juv,1,1,1,1238.6371416021702,index
24,14917.6089189662,FHA.juv,1,1,1,1491.76089189662,index
25,9653.390298431856,FHA.juv,1,1,1,965.3390298431858,index
26,32874.4575473361,FHA.juv,1,1,1,3287.4457547336096,index
27,29242.802827561496,FHA.juv,1,1,1,2924.28028275615,index
28,20232.1088054891,FHA.juv,1,1,1,2023.2108805489104,index
29,8055.7679482843405,FHA.juv,1,1,1,805.5767948284341,index
1,77291,FHA.adult,84063,72402,1,7729.1,index
2,67212,FHA.adult,72002,63433,1,6721.200000000001,index
3,56834,FHA.adult,61032,53538,1,5683.4000000000005,index
4,58644,FHA.adult,62933,55646,1,5864.4000000000005,index
5,64664,FHA.adult,69011,60807,1,6466.4000000000005,index
6,64972,FHA.adult,69175,61681,1,6497.200000000001,index
7,96064,FHA.adult,101514,91274,1,9606.4,index
8,131526,FHA.adult,139341,124332,1,13152.6,index
9,202476,FHA.adult,214395,191813,1,20247.6,index
10,194992,FHA.adult,207437,184104,1,19499.2,index
11,157728,FHA.adult,168473,148542,1,15772.8,index
12,152312,FHA.adult,161648,144506,1,15231.2,index
13,170176,FHA.adult,181886,160018,1,17017.600000000002,index
14,151116,FHA.adult,160787,142092,1,15111.6,index
15,115601,FHA.adult,122976,108401,1,11560.1,index
16,105730,FHA.adult,111788,100836,1,10573,index
17,116355,FHA.adult,122781,110396,1,11635.5,index
18,120012,FHA.adult,126806,114822,1,12001.2,index
19,112821,FHA.adult,119226,107848,1,11282.1,index
20,122291,FHA.adult,129153,116809,1,12229.1,index
21,114223,FHA.adult,121621,108417,1,11422.3,index
22,102733,FHA.adult,109937,96769,1,10273.3,index
23,129110,FHA.adult,136952,123004,1,12911,index
24,137361,FHA.adult,144875,130047,1,13736.1,index
25,141367,FHA.adult,150053,132827,1,14136.7,index
26,158417,FHA.adult,168981,148871,1,15841.7,index
27,152683,FHA.adult,164815,141239,1,15268.3,index
28,188211,FHA.adult,206372,172100,1,18821.1,index
29,187073,FHA.adult,209905,167011,1,18707.3,index
1,23482.552429514897,FSA.juv,1,1,1,2348.25524295149,index
2,12632.6398513139,FSA.juv,1,1,1,1263.2639851313902,index
3,8249.70236762765,FSA.juv,1,1,1,824.970236762765,index
4,25680.9603178514,FSA.juv,1,1,1,2568.0960317851404,index
5,27418.651965123303,FSA.juv,1,1,1,2741.8651965123304,index
6,36855.5935882089,FSA.juv,1,1,1,3685.5593588208903,index
7,40527.1174128352,FSA.juv,1,1,1,4052.71174128352,index
8,48396.9442868732,FSA.juv,1,1,1,4839.69442868732,index
9,20580.4711901569,FSA.juv,1,1,1,2058.04711901569,index
10,50182.3911053136,FSA.juv,1,1,1,5018.239110531361,index
11,27040.4204766967,FSA.juv,1,1,1,2704.0420476696704,index
12,12711.1646969877,FSA.juv,1,1,1,1271.11646969877,index
13,18660.990143331,FSA.juv,1,1,1,1866.0990143331,index
14,27904.075926520894,FSA.juv,1,1,1,2790.40759265209,index
15,25227.0921352353,FSA.juv,1,1,1,2522.7092135235303,index
16,26102.4577196724,FSA.juv,1,1,1,2610.24577196724,index
17,25948.8026767992,FSA.juv,1,1,1,2594.88026767992,index
18,18358.415903641497,FSA.juv,1,1,1,1835.84159036415,index
19,16734.6908428395,FSA.juv,1,1,1,1673.46908428395,index
20,41475.0706670979,FSA.juv,1,1,1,4147.50706670979,index
21,23787.458069687,FSA.juv,1,1,1,2378.7458069687,index
22,30514.1766087188,FSA.juv,1,1,1,3051.4176608718803,index
23,9794.281891405342,FSA.juv,1,1,1,979.4281891405344,index
24,21103.8177406106,FSA.juv,1,1,1,2110.38177406106,index
25,31330.6533976566,FSA.juv,1,1,1,3133.0653397656606,index
26,34548.5365661857,FSA.juv,1,1,1,3454.8536566185703,index
27,34561.7310441383,FSA.juv,1,1,1,3456.1731044138305,index
28,25713.9568019377,FSA.juv,1,1,1,2571.39568019377,index
29,19153.3708200986,FSA.juv,1,1,1,1915.33708200986,index
1,151203,FSA.adult,160903,136919,1,15120.3,index
2,159171,FSA.adult,169242,143041,1,15917.1,index
3,157667,FSA.adult,168021,140522,1,15766.7,index
4,136382,FSA.adult,146130,120609,1,13638.2,index
5,148416,FSA.adult,159086,130443,1,14841.6,index
6,170133,FSA.adult,182467,149903,1,17013.3,index
7,230133,FSA.adult,244761,203966,1,23013.300000000003,index
8,293439,FSA.adult,310461,262515,1,29343.9,index
9,335449,FSA.adult,355909,303667,1,33544.9,index
10,301545,FSA.adult,320088,270335,1,30154.5,index
11,326880,FSA.adult,345567,292514,1,32688,index
12,297445,FSA.adult,315278,261585,1,29744.5,index
13,265881,FSA.adult,284827,230790,1,26588.1,index
14,238524,FSA.adult,257380,203785,1,23852.4,index
15,234822,FSA.adult,253835,199263,1,23482.2,index
16,234947,FSA.adult,255897,200864,1,23494.7,index
17,236035,FSA.adult,258863,202290,1,23603.5,index
18,236938,FSA.adult,258401,202893,1,23693.800000000003,index
19,228083,FSA.adult,250894,193583,1,22808.300000000003,index
20,222997,FSA.adult,246172,188634,1,22299.7,index
21,270215,FSA.adult,299280,232997,1,27021.5,index
22,289125,FSA.adult,322433,248441,1,28912.5,index
23,310974,FSA.adult,349208,267896,1,31097.4,index
24,282170,FSA.adult,323788,235818,1,28217,index
25,256402,FSA.adult,300741,207703,1,25640.2,index
26,267802,FSA.adult,318241,214392,1,26780.2,index
27,265565,FSA.adult,326383,204201,1,26556.5,index
28,303254,FSA.adult,385497,223491,1,30325.4,index
29,334383,FSA.adult,445706,231274,1,33438.3,index
1,35104.64,FGH,42498.560000000005,29377.09,1,3510.464,index
2,33228.020000000004,FGH,41348.59,26450.88,1,3322.8020000000006,index
3,32040.18,FGH,40653.04,24754.84,1,3204.018,index
4,34536.15,FGH,43617.61,26495.14,1,3453.615,index
5,38522.75,FGH,47962.170000000006,29731.52,1,3852.275,index
6,41449.29,FGH,51027.83,32361.78,1,4144.929,index
7,39382.9,FGH,48984.630000000005,31218.02,1,3938.29,index
8,37209.55,FGH,46466.79,29785.88,1,3720.955,index
9,33437.29,FGH,41883.44,26761.79,1,3343.7290000000003,index
10,27799.85,FGH,34847.72,21941.36,1,2779.985,index
11,23420.2,FGH,29063.33,18144.23,1,2342.02,index
12,20998.84,FGH,25897.15,16099.82,1,2099.884,index
13,21469.32,FGH,26208.9,16477.56,1,2146.932,index
14,21793.61,FGH,26640.55,16556.81,1,2179.3610000000003,index
15,19587.16,FGH,24653.56,14213.41,1,1958.716,index
16,18602.06,FGH,23637.75,13530.71,1,1860.206,index
17,20065.67,FGH,24941.77,15156.28,1,2006.567,index
18,22045.72,FGH,26968.94,17154.46,1,2204.572,index
19,24088.52,FGH,28982.5,19283.07,1,2408.8520000000003,index
20,26623.04,FGH,31510.72,21717.19,1,2662.304,index
21,30201.25,FGH,35069.08,24878.36,1,3020.125,index
22,31113.72,FGH,35182.530000000006,25768.18,1,3111.3720000000003,index
23,32187.27,FGH,35496.4,26691.55,1,3218.7270000000003,index
24,30894,FGH,34117.920000000006,25591.13,1,3089.4,index
25,28102.41,FGH,31572.89,22633.38,1,2810.241,index
26,26648.17,FGH,30851.82,21212.22,1,2664.817,index
27,25568.85,FGH,30778.3,19471.34,1,2556.885,index
28,25203.84,FGH,31704.32,18607.35,1,2520.384,index
29,23871.07,FGH,31796.49,16822.97,1,2387.107,index
1,311856.46466632804,FRF,366104.35931808664,262378.57001456944,1,31185.646466632807,index
2,305008.34691477334,FRF,359831.60849668685,254276.08533285977,1,30500.834691477336,index
3,308520.76989035826,FRF,364950.1757306219,256968.36405009465,1,30852.076989035828,index
4,310418.8022070108,FRF,368992.6023662273,257595.0020477944,1,31041.88022070108,index
5,302189.35087128775,FRF,358852.452794239,251652.2489483365,1,30218.935087128775,index
6,301481.8392660581,FRF,359410.0034296144,250648.67510250185,1,30148.183926605812,index
7,304208.4753421079,FRF,361940.9052530055,254907.04543121037,1,30420.84753421079,index
8,316763.9849902473,FRF,378298.6436849324,265707.32629556226,1,31676.39849902473,index
9,323161.5221056502,FRF,385845.0623268409,272793.98188445956,1,32316.152210565026,index
10,332688.954953741,FRF,397494.2348157615,281582.6750917205,1,33268.8954953741,index
11,346390.904485415,FRF,415961.8853543562,291437.92361647374,1,34639.0904485415,index
12,357802.9721235991,FRF,429691.0001690006,301690.9440781977,1,35780.29721235991,index
13,375220.1941526049,FRF,452912.0182083107,314227.37009689905,1,37522.01941526049,index
14,377470.6930546243,FRF,455413.5133351601,317311.8727740885,1,37747.069305462435,index
15,389212.7817732714,FRF,471788.2786978925,325390.2848486503,1,38921.27817732714,index
16,411089.4862833437,FRF,499774.834043411,341662.1385232764,1,41108.94862833437,index
17,447162.6603780238,FRF,547577.00229914,366216.3184569075,1,44716.26603780239,index
18,477708.0587060551,FRF,578974.330345799,396162.7870663113,1,47770.80587060552,index
19,494852.4883482723,FRF,601543.2614930879,407325.7152034568,1,49485.24883482723,index
20,523067.2506894865,FRF,643475.0965420901,421310.404836883,1,52306.725068948654,index
21,550785.1940051229,FRF,671924.7524521643,447039.6355580815,1,55078.51940051229,index
22,559896.9653938652,FRF,697617.7190233098,438107.21176442073,1,55989.696539386525,index
23,545357.9342387419,FRF,675206.7714349657,429785.097042518,1,54535.79342387419,index
24,526116.7321481843,FRF,654285.0490051545,410573.4152912141,1,52611.67321481844,index
25,490309.405627171,FRF,603021.0849154099,389087.72633893223,1,49030.9405627171,index
26,495168.414628985,FRF,627721.2385814975,373728.5906764723,1,49516.8414628985,index
27,477229.3717899801,FRF,605829.923657458,361297.81992250215,1,47722.937178998014,index
28,467983.0756051013,FRF,590340.5619683281,360925.5892418745,1,46798.30756051013,index
29,472240.9405510032,FRF,643235.6458021266,321165.2352998798,1,47224.09405510032,index
1,52380.3,FFF,65359.100416,39449.499584,1,5238.03,index
2,52983.2,FFF,65112.53333999999,40884.86666000001,1,5298.32,index
3,48717.8,FFF,58714.10310000001,38742.4969,1,4871.780000000001,index
4,52478.899999999994,FFF,61899.268388,43077.531612,1,5247.889999999999,index
5,43226.600000000006,FFF,51762.172328,34707.027672,1,4322.660000000001,index
6,47640.5,FFF,59418.14002,35878.85998,1,4764.05,index
7,53120.2,FFF,66138.369768,40121.030232,1,5312.02,index
8,66535.5,FFF,88556.173996,44540.82600400001,1,6653.55,index
9,50306.600000000006,FFF,62347.483268,38298.716732,1,5030.660000000001,index
10,42279.2,FFF,49573.094664,35029.305336,1,4227.920000000001,index
11,44268.50000000001,FFF,53576.286799999994,35012.7132,1,4426.850000000001,index
12,44628.5,FFF,54118.081272,35204.918728000004,1,4462.85,index
13,40485.9,FFF,46681.806112,34360.993888000005,1,4048.59,index
14,44462.3,FFF,53092.907064,35916.692936,1,4446.23,index
15,43336.6,FFF,52162.065472,34605.134528,1,4333.66,index
16,39129.3,FFF,45922.395004,32441.204996000004,1,3912.93,index
17,42541.600000000006,FFF,50712.637276,34486.562723999996,1,4254.160000000001,index
18,45053.1,FFF,52730.591691999995,37497.608307999995,1,4505.31,index
19,44263.7,FFF,54818.589556,33844.810443999995,1,4426.37,index
20,45739.9,FFF,56511.18117999999,35127.61882,1,4573.990000000001,index
21,46066.9,FFF,54777.370811999994,37540.429187999995,1,4606.6900000000005,index
22,48634.60000000001,FFF,57561.63203600001,39933.56796400001,1,4863.460000000002,index
23,43691.9,FFF,52374.681540000005,35270.11846,1,4369.1900000000005,index
24,40461.8,FFF,47715.789508,33523.810492000004,1,4046.18,index
25,40258.00000000001,FFF,48105.90786,32802.09214,1,4025.800000000001,index
26,48497.3,FFF,60519.558016,36951.041984,1,4849.7300000000005,index
27,43861.2,FFF,53598.099228,34754.300772,1,4386.120000000001,index
28,47657.5,FFF,59036.76900399999,37105.230996,1,4765.75,index
29,45819.6,FFF,57529.8413,35116.3587,1,4581.96,index
1,335911,FHE,384293,293621,1,33591.1,index
2,293206,FHE,335843,255982,1,29320.6,index
3,335690,FHE,384720,292909,1,33569,index
4,335044,FHE,382759,293278,1,33504.4,index
5,361735,FHE,413499,316451,1,36173.5,index
6,319261,FHE,365213,279091,1,31926.1,index
7,327078,FHE,376030,284499,1,32707.800000000003,index
8,425820,FHE,503964,359794,1,42582,index
9,536301,FHE,639343,449865,1,53630.100000000006,index
10,560170,FHE,662782,473444,1,56017,index
11,655383,FHE,768658,558800,1,65538.3,index
12,598998,FHE,696659,515027,1,59899.8,index
13,588328,FHE,690398,501348,1,58832.8,index
14,511460,FHE,611135,428042,1,51146,index
15,497018,FHE,586468,421212,1,49701.8,index
16,501018,FHE,582832,430688,1,50101.8,index
17,520550,FHE,600593,451174,1,52055,index
18,447827,FHE,525025,381979,1,44782.7,index
19,491201,FHE,577305,417938,1,49120.100000000006,index
20,415942,FHE,493385,350655,1,41594.2,index
21,384491,FHE,457898,322852,1,38449.1,index
22,371962,FHE,445622,310477,1,37196.2,index
23,371166,FHE,443664,310514,1,37116.6,index
24,338821,FHE,405056,283417,1,33882.1,index
25,356001,FHE,422970,299635,1,35600.1,index
26,435395,FHE,519261,365074,1,43539.5,index
27,489076,FHE,595003,402007,1,48907.600000000006,index
28,585438,FHE,732087,468165,1,58543.8,index
29,545270,FHE,707481,420251,1,54527,index
1,381234007,FCA,965972649.2,3497000,1,38123400.7,index
2,427238150.2,FCA,1057016985,6681285.569,1,42723815.02,index
3,272973677.9,FCA,671166278.5,9183224.846,1,27297367.79,index
4,230961233.9,FCA,652882620.4,2761000,1,23096123.39,index
5,121025304.8,FCA,502406618.4,3095000,1,12102530.48,index
6,234310780.6,FCA,628706363.6999999,3100000,1,23431078.06,index
7,243746752.7,FCA,919110410.2,3295000,1,24374675.270000003,index
8,10847000,FCA,28286978.65,2847000,1,1084700,index
9,110366564.9,FCA,520586380.2,2635000,1,11036656.490000002,index
10,226400657.3,FCA,1008714380.999999,2701000,1,22640065.730000004,index
11,15917248.7,FCA,132797685.1,2238000,1,1591724.87,index
12,217153734.9,FCA,506394220.7,34781322.73999999,1,21715373.49,index
13,65404725.4,FCA,168329624.5,2203000,1,6540472.54,index
14,261134822.6,FCA,390842056.2,174621013.2,1,26113482.26,index
15,261499711,FCA,458065595.5,131810098.8,1,26149971.1,index
16,204581606.1,FCA,439396011.8,45173941.74,1,20458160.61,index
17,257974762.3,FCA,550969363.2,17238245.1,1,25797476.230000004,index
18,301960466.6,FCA,583218495.0999999,74219774.08,1,30196046.660000004,index
19,290177953.7,FCA,483758904.8,144742795.3,1,29017795.37,index
20,342004316.4,FCA,711828400.5,101052768.7,1,34200431.64,index
21,336080051.1,FCA,514982021.7,190529497.2,1,33608005.11000001,index
22,356029552,FCA,598086959,151915503.5,1,35602955.2,index
23,384254377.1,FCA,646569865.8,182850249.1,1,38425437.71,index
24,166352792.8,FCA,232029702.6,112277753.9,1,16635279.28,index
25,142541043.8,FCA,204626454.3,91713661.51,1,14254104.380000005,index
26,373656971.2,FCA,594342984.3,171326514.8,1,37365697.12,index
27,510279799.7,FCA,800714179,267441067.9,1,51027979.97,index
28,356480252.7,FCA,595711011.8,159369455.4,1,35648025.27,index
29,203340000,FCA,330940000,113330000,1,20334000,index
1,23764.62596428419,FOC,31228.135250445903,16558.41697175272,1,2376.4625964284196,index
2,19394.01841941315,FOC,23478.143927487203,15565.455469562015,1,1939.4018419413155,index
3,18454.856352096853,FOC,21398.366243624165,15789.679172410786,1,1845.4856352096856,index
4,20202.85469919552,FOC,23617.34633925109,17110.699263958828,1,2020.285469919552,index
5,21099.799725311932,FOC,25969.370228817843,16535.59750218024,1,2109.979972531193,index
6,20157.03570318273,FOC,23127.861358350427,17447.715552765207,1,2015.703570318273,index
7,25606.575469669653,FOC,31125.65116715599,20329.697142922618,1,2560.6575469669656,index
8,33753.41224834411,FOC,41584.91233186261,26189.400929347557,1,3375.341224834411,index
9,41552.987283185554,FOC,50683.412345808465,32713.52919894237,1,4155.298728318556,index
10,45489.6212083735,FOC,56866.47554147537,34431.54709939077,1,4548.96212083735,index
11,42562.20170271809,FOC,52821.44701582934,32654.81863562797,1,4256.220170271809,index
12,46520.691230053766,FOC,56156.3327513022,37260.92817756893,1,4652.069123005377,index
13,49718.82405280616,FOC,58435.4014931893,41376.32726501312,1,4971.882405280616,index
14,50827.33602083752,FOC,61833.536091930946,40198.771503352225,1,5082.733602083752,index
15,43146.43761120268,FOC,48709.59833694296,37954.003058258335,1,4314.643761120268,index
16,44902.47818455814,FOC,61475.19673924584,28671.340774028184,1,4490.247818455814,index
17,44524.85871852185,FOC,51734.02155479479,37720.78850905182,1,4452.4858718521855,index
18,41952.11030101754,FOC,47412.44039455497,36897.17367772187,1,4195.211030101755,index
19,47149.889904784955,FOC,53210.90531272611,41574.07969416526,1,4714.988990478496,index
20,44468.81341614712,FOC,50608.36845867071,38887.77882448676,1,4446.881341614712,index
21,49191.95446727585,FOC,56992.97359145061,42068.97545595741,1,4919.1954467275855,index
22,46664.78947227559,FOC,55336.55088491355,38701.24005896276,1,4666.478947227559,index
23,50085.75296127416,FOC,59063.52315934084,41845.84889654428,1,5008.575296127416,index
24,49815.978390013384,FOC,64773.63391905865,35559.75584079942,1,4981.597839001339,index
25,43093.209326757045,FOC,51674.18781367534,35364.63622269898,1,4309.320932675705,index
26,47101.07194897251,FOC,59060.49552519832,36107.97202588456,1,4710.107194897252,index
27,55358.56842490635,FOC,72779.77763748485,39346.9325387216,1,5535.856842490636,index
28,60199.03798707162,FOC,80345.93397438644,42028.441651837034,1,6019.903798707162,index
29,60535.57532112156,FOC,86857.7616245109,37296.88436951942,1,6053.557532112157,index
1,54062.67501061229,FDC,73359.21550555115,43648.67315251667,1,5406.267501061229,index
2,55512.45657966298,FDC,74086.47881537848,45515.33396238761,1,5551.2456579662985,index
3,55122.17923579208,FDC,73416.8176483119,45324.11539100091,1,5512.217923579208,index
4,56243.73054141213,FDC,74883.60926864998,46306.59666000201,1,5624.373054141213,index
5,51342.80169683458,FDC,68729.99825801075,42351.445867024035,1,5134.280169683458,index
6,51783.95983381073,FDC,69706.33118695229,43148.22887681134,1,5178.395983381073,index
7,56900.15870076818,FDC,75677.15651726704,48627.07536500129,1,5690.015870076819,index
8,55618.02708343023,FDC,73911.18980284518,47255.896057771875,1,5561.802708343023,index
9,75088.95732878671,FDC,91643.18664079932,59923.07260099669,1,7508.895732878671,index
10,86448.65488767075,FDC,105980.52337428104,73530.85394063406,1,8644.865488767076,index
11,92072.72367175002,FDC,118488.00291092688,78547.25530313463,1,9207.272367175005,index
12,99055.12633326092,FDC,123768.26893982134,86544.15406528288,1,9905.512633326092,index
13,97130.27140724997,FDC,126724.1020110088,85399.46591516987,1,9713.027140724997,index
14,90881.5556930506,FDC,126249.4587346294,77765.22825927712,1,9088.15556930506,index
15,91247.68799820116,FDC,128158.86449390666,78935.67078452485,1,9124.768799820118,index
16,76684.33832138346,FDC,112566.5696807836,64723.11882561117,1,7668.433832138347,index
17,71790.78710107061,FDC,108626.95812766616,58731.94911090289,1,7179.078710107062,index
18,71325.40941164042,FDC,109199.09290269812,58164.697981001795,1,7132.540941164042,index
19,72977.65976238229,FDC,114974.03695907422,58862.30530144136,1,7297.765976238229,index
20,80296.32164395227,FDC,130650.20986690794,64605.37382258635,1,8029.632164395227,index
21,86359.84809965949,FDC,138169.3873277265,71170.36662205087,1,8635.984809965948,index
22,89454.9972768089,FDC,142589.9267731753,74240.07118837639,1,8945.499727680892,index
23,94515.20024744036,FDC,153456.14814040592,78115.56572228276,1,9451.520024744035,index
24,101708.09197599073,FDC,164577.22088262552,82762.34351719824,1,10170.809197599072,index
25,115109.0935280838,FDC,173957.9788689143,96706.70324855164,1,11510.90935280838,index
26,124939.11379785126,FDC,185367.8414375204,104775.15297075186,1,12493.911379785126,index
27,130476.32683921773,FDC,196917.28861156813,106163.68762963644,1,13047.632683921773,index
28,137749.12901973174,FDC,217288.80797996256,109864.47743780325,1,13774.912901973175,index
29,144636.5952486999,FDC,222955.79640694064,118533.13026221906,1,14463.659524869989,index
1,70643.45,WMW,101274,49279,1,1,index
6,92984.71,WMW,145803,59298,1,1,index
12,61786.77,WMW,107453,25275,1,1,index
20,31957.59,WMW,48190,17797,1,1,index
